outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,672.0318274382499,167.87045017749557,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,801.6667354962628,384.72654080326225,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,769.1268699073833,235.3358823094349,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,631.5185280666834,286.026776612259,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 7, ""num_intervals"": 10}",C=7__I=10,590.6649951281003,160.31183288064014,5,1211,1384,2732.54,2960.07
6,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,515.9939610951643,47.07556304897821,5,1211,1384,2732.54,2960.07
7,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,461.1624453628072,36.31585932729669,5,1211,1384,2732.54,2960.07
8,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,544.0130274587403,129.24528909302975,5,0,173,200.908,507.581
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,635.8057885812483,169.6283956533482,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 7, ""num_intervals"": 10}",C=7__I=10,553.6925672488126,106.00844586037026,5,1211,1384,2732.54,2960.07
