outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 7, ""num_intervals"": 5}",C=7__I=5,625.6649703743666,148.61057460443033,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,645.3893209986038,221.33044900755192,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,587.1189370545859,203.01307747339024,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,543.2245180474315,173.01524068082355,5,1211,1384,2732.54,2960.07
5,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,602.9287174979775,152.87197979014226,5,1211,1384,2732.54,2960.07
6,"{""n_components"": 6, ""num_intervals"": 10}",C=6__I=10,523.4210025055955,33.15747226902991,5,1211,1384,2732.54,2960.07
7,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,461.1145092708174,36.84547803532573,5,1211,1384,2732.54,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,582.6609812223189,143.30424536438963,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,604.5697015521264,125.77548506075328,5,1211,1384,2732.54,2960.07
10,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,518.4077609173918,89.24701118707583,5,1211,1384,2732.54,2960.07
