outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,670.0138283864635,174.33581363965547,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,801.6667354962632,384.7265408032628,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,766.7653383109243,293.05799488146965,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,664.465431276617,297.6661010593658,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 7, ""num_intervals"": 10}",C=7__I=10,590.6649951281003,160.31183288064014,5,1211,1384,2732.54,2960.07
6,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,515.9939610951643,47.07556304897821,5,1211,1384,2732.54,2960.07
7,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,461.1624453628072,36.31585932729669,5,1211,1384,2732.54,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,676.935444058563,105.2513314994555,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,660.2356977335774,185.90673910459327,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 7, ""num_intervals"": 10}",C=7__I=10,553.6925672488126,106.00844586037026,5,1211,1384,2732.54,2960.07
