outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,665.220435105706,168.66850426565455,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,746.4729324713422,318.89384485051096,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,697.9239726465701,287.16236507302585,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,542.8500174829973,173.06369825627735,5,1211,1384,2732.54,2960.07
5,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,602.5204871455189,153.3920377763621,5,1211,1384,2732.54,2960.07
6,"{""n_components"": 6, ""num_intervals"": 10}",C=6__I=10,522.9553835698264,33.42642218067382,5,1211,1384,2732.54,2960.07
7,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,461.16003201691444,36.93803211538335,5,1211,1384,2732.54,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,595.7152779193864,138.5268292807088,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,608.2618475318839,109.546621616119,5,1211,1384,2732.54,2960.07
10,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,517.816264841779,88.96471461728349,5,1211,1384,2732.54,2960.07
