outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,670.0138103503199,174.33580889354388,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,801.6667363371515,384.72650522418166,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,766.7653344665517,293.0579924369881,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,664.4654348086162,297.6661010150865,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 7, ""num_intervals"": 10}",C=7__I=10,590.6649756983011,160.31178572092,5,1211,1384,2732.54,2960.07
6,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,515.9939587312055,47.075538554345925,5,1211,1384,2732.54,2960.07
7,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,461.16243603061605,36.31584157842178,5,1211,1384,2732.54,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,676.9354454364404,105.25134052834946,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,660.2356864414735,185.9067171265673,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 7, ""num_intervals"": 10}",C=7__I=10,553.6925368700582,106.00845129202338,5,1211,1384,2732.54,2960.07
