outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,704.546108567157,191.44674102442946,5,346,692,807.292,1372.18
2,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,735.7329170795972,191.62550430194767,5,346,692,807.292,1372.18
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,627.3801599658536,199.39677131139067,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,605.6754850001423,281.3750543939508,5,346,692,807.292,1372.18
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,680.6738471291935,254.51262205617684,5,346,692,807.292,1372.18
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,613.3849371406849,226.2212622820019,5,346,692,807.292,1372.18
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,585.5146458915369,227.5463859244398,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,605.5268788557566,148.27538740439937,5,346,692,807.292,1372.18
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,771.7194542435227,212.44123875364562,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,635.6778475788842,229.56598066704234,5,346,692,807.292,1372.18
