outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,500.60695807716576,140.76444001608593,5,346,692,807.292,1372.18
2,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,609.8033234125617,147.37775286313206,5,346,692,807.292,1372.18
3,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,514.5346010455908,155.3400910761352,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,506.56405345865386,211.42151936546634,5,346,692,807.292,1372.18
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,578.4393885629704,111.9386601641917,5,692,1038,1373.76,2495.26
6,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,488.1814002929188,106.05875399703788,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,387.3118496170955,58.600298132216565,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,547.3268269880698,152.44298594401255,5,346,692,807.292,1372.18
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,562.3721904850945,194.29697900881595,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,465.0121408294026,175.17655521573207,5,346,692,807.292,1372.18
