outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,670.6328787163267,328.69498879333355,5,346,692,807.292,1372.18
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,695.9323253532832,221.76399115326603,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,599.8893562352941,189.95600411649667,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 7, ""num_intervals"": 5}",C=7__I=5,607.914683500464,161.21895444097348,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,661.6103505113716,198.86186624474965,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,542.2704146482479,59.08645616413132,5,692,1038,1373.76,2495.26
7,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,401.85673215286954,83.64093728999624,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,554.3678710382912,74.4541102676766,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,618.9003135660856,146.90848392881085,5,692,1038,1373.76,2495.26
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,555.4926011352286,145.35029201966853,5,346,692,807.292,1372.18
