outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,1029.9574522862804,247.58845074184234,5,,,,
2,"{""n_components"": 2}",C=2,1114.7692378048334,216.7707200599668,5,,,,
3,"{""n_components"": 2}",C=2,1196.3668085350441,386.4126339795569,5,,,,
4,"{""n_components"": 2}",C=2,961.74218930338,191.1468564288005,5,,,,
5,"{""n_components"": 2}",C=2,1143.4458564110369,239.69958111942023,5,,,,
6,"{""n_components"": 2}",C=2,2011.7518171470833,2107.6781769467157,5,,,,
7,"{""n_components"": 2}",C=2,1088.5061995178462,363.2669607670012,5,,,,
8,"{""n_components"": 3}",C=3,933.5656617979515,182.84294805841407,5,,,,
9,"{""n_components"": 2}",C=2,1799.9876551872392,1604.1969133266196,5,,,,
10,"{""n_components"": 13}",C=13,999.1015421689588,484.2141179725254,5,,,,
