outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,719.3457086830256,136.12598402852157,5,,,,
2,"{""n_components"": 2}",C=2,715.44297800604,307.0489246841212,5,,,,
3,"{""n_components"": 2}",C=2,692.2716760488283,283.0269881550869,5,,,,
4,"{""n_components"": 2}",C=2,716.8323290432802,289.21669029857287,5,,,,
5,"{""n_components"": 2}",C=2,732.743468878725,201.45540978995183,5,,,,
6,"{""n_components"": 2}",C=2,654.5136071423253,150.59076185186606,5,,,,
7,"{""n_components"": 2}",C=2,567.6326703407984,233.72529258157988,5,,,,
8,"{""n_components"": 2}",C=2,537.203157034973,170.6339661733934,5,,,,
9,"{""n_components"": 2}",C=2,638.7942404986145,232.6312037872918,5,,,,
10,"{""n_components"": 2}",C=2,674.7982813076991,148.5616006325008,5,,,,
