outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,665.7402603637063,162.45987517150203,5,,,,
2,"{""n_components"": 2}",C=2,701.8146160446446,218.7840793000121,5,,,,
3,"{""n_components"": 2}",C=2,674.6038377793195,233.32001046535265,5,,,,
4,"{""n_components"": 2}",C=2,647.7143573413293,229.23946926997277,5,,,,
5,"{""n_components"": 2}",C=2,682.7860446424772,210.91075433881008,5,,,,
6,"{""n_components"": 2}",C=2,595.8727092486309,177.48057726444983,5,,,,
7,"{""n_components"": 2}",C=2,588.1619904900492,192.2181622574394,5,,,,
8,"{""n_components"": 2}",C=2,527.8833945876607,137.14177415113593,5,,,,
9,"{""n_components"": 2}",C=2,633.153384207699,189.76235458781926,5,,,,
10,"{""n_components"": 2}",C=2,661.6006251323904,181.34631788126683,5,,,,
