outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,794.6819502146212,177.7145079853516,5,,,,
2,"{""n_components"": 2}",C=2,824.7132928531882,197.29928023306346,5,,,,
3,"{""n_components"": 2}",C=2,799.0626026714347,200.74643752634702,5,,,,
4,"{""n_components"": 2}",C=2,739.2241684422348,226.8740826445452,5,,,,
5,"{""n_components"": 2}",C=2,839.8837346506301,239.08513827616738,5,,,,
6,"{""n_components"": 2}",C=2,790.3486205943362,200.6231857770761,5,,,,
7,"{""n_components"": 2}",C=2,726.175876479919,210.29305356498546,5,,,,
8,"{""n_components"": 2}",C=2,638.7272152307293,154.87986359008926,5,,,,
9,"{""n_components"": 2}",C=2,779.9269163369202,215.34797077517018,5,,,,
10,"{""n_components"": 2}",C=2,795.986823544359,160.22516422056682,5,,,,
