outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,569.997980266987,178.2339583201237,5,,,,
2,"{""n_components"": 2}",C=2,678.2962415520676,157.55748633549317,5,,,,
3,"{""n_components"": 2}",C=2,681.3566663560257,212.98148390994945,5,,,,
4,"{""n_components"": 2}",C=2,570.1034316509041,160.66461103630567,5,,,,
5,"{""n_components"": 2}",C=2,608.2783092070223,101.80533969467412,5,,,,
6,"{""n_components"": 2}",C=2,496.00587628312206,127.4799382598199,5,,,,
7,"{""n_components"": 3}",C=3,410.2051977654636,72.85288224061138,5,,,,
8,"{""n_components"": 2}",C=2,497.01547063530654,186.6450919114046,5,,,,
9,"{""n_components"": 2}",C=2,602.3928136906794,158.70913348301,5,,,,
10,"{""n_components"": 2}",C=2,513.1362881499839,147.34289097852403,5,,,,
