outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,708.0572317234507,179.16127425969205,5,,,,
2,"{""n_components"": 2}",C=2,706.7336818201272,248.30077440015324,5,,,,
3,"{""n_components"": 2}",C=2,653.7023620904818,234.5898782354385,5,,,,
4,"{""n_components"": 2}",C=2,665.8498788891787,254.7777222933922,5,,,,
5,"{""n_components"": 2}",C=2,699.1944484340138,132.1319997494309,5,,,,
6,"{""n_components"": 2}",C=2,599.1282512311278,154.40926394156884,5,,,,
7,"{""n_components"": 2}",C=2,543.8994994332522,109.63765601810667,5,,,,
8,"{""n_components"": 2}",C=2,538.8907706876564,165.32007609204717,5,,,,
9,"{""n_components"": 2}",C=2,725.0300481699518,178.2294025282027,5,,,,
10,"{""n_components"": 2}",C=2,686.095283748163,154.07652410324312,5,,,,
