outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,647.0221528364716,199.8506933469831,5,346,692,807.292,1372.18
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,619.5738420733635,213.4602487499991,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,610.1860708168168,277.1529688102953,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,428.6163715229757,21.10121734673318,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,530.8806127730506,222.1869944355104,5,0,346,200.908,805.597
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,641.5079035200351,233.45782512746052,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,653.5353838607431,83.00710493986448,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,593.3895907387423,104.8178612176953,5,0,346,200.908,805.597
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,610.2926214765293,202.08514574221687,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,620.347645280012,170.09535477458132,5,1384,1731,2961.37,3398.93
