outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 7, ""num_intervals"": 10}",C=7__I=10,528.1433777665421,79.04512788871017,5,519,692,1095.28,1372.18
2,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,561.3217734495588,90.41231868703608,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,625.6459931821402,264.17473669779986,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,439.17575207416905,75.98346875931034,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,565.5279423454006,115.41647387828571,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,567.415039094303,120.65528930651742,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,646.6396769502342,150.72271671231226,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,656.7703036273235,127.69902833786448,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,601.4681868822757,75.8616863602895,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,429.5342349571808,232.02288605750255,5,1038,1384,2496.64,2960.07
