outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,644.3423344748337,132.25305134560153,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,609.2097346961384,132.0221114624388,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,622.6106781249966,258.3692352709084,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,439.23377173941265,93.67277948648712,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,552.7714993000661,190.5122954066207,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,649.0917461277138,194.67490222548466,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,611.3397430743968,187.45283307049525,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,635.8137612945739,247.16751764068854,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,649.2153585440598,149.62010230639257,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,516.0582504736723,131.46748485309521,5,1038,1211,2496.64,2731.2
