outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,594.6799945486173,103.24440369081518,5,,,,
2,"{""n_components"": 2}",C=2,603.4138419305642,180.21465698684642,5,,,,
3,"{""n_components"": 2}",C=2,587.7349479045877,128.9053115885743,5,,,,
4,"{""n_components"": 2}",C=2,531.3169540880803,125.08671718392492,5,,,,
5,"{""n_components"": 5}",C=5,541.6760533195189,94.1719871905275,5,,,,
6,"{""n_components"": 5}",C=5,514.5022687143617,149.95414028858428,5,,,,
7,"{""n_components"": 2}",C=2,616.5961971947479,130.2773610437447,5,,,,
8,"{""n_components"": 2}",C=2,578.426810192725,228.1089877490393,5,,,,
9,"{""n_components"": 4}",C=4,542.7723964209715,148.45971560056856,5,,,,
10,"{""n_components"": 9}",C=9,422.35357371595535,105.65043233007967,5,,,,
