outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,537.4704282288401,57.10016633332775,5,,,,
2,"{""n_components"": 2}",C=2,551.7151083039378,168.95789152239186,5,,,,
3,"{""n_components"": 2}",C=2,487.29816117619555,132.27532406392322,5,,,,
4,"{""n_components"": 2}",C=2,465.4224894682487,112.92396617911193,5,,,,
5,"{""n_components"": 2}",C=2,499.5827141578993,89.75028870380707,5,,,,
6,"{""n_components"": 2}",C=2,478.7135132326551,117.003869889682,5,,,,
7,"{""n_components"": 2}",C=2,543.9980873529881,146.84184436815536,5,,,,
8,"{""n_components"": 2}",C=2,484.8579040408857,160.91546307536862,5,,,,
9,"{""n_components"": 2}",C=2,472.15248154635117,146.2593232632369,5,,,,
10,"{""n_components"": 9}",C=9,374.02418102607163,83.79227033869861,5,,,,
