outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,737.6738526798202,144.66291013658994,5,,,,
2,"{""n_components"": 2}",C=2,780.953605561857,201.90497902742402,5,,,,
3,"{""n_components"": 2}",C=2,761.5767456373237,215.525716338679,5,,,,
4,"{""n_components"": 2}",C=2,773.542120705966,286.8013431184768,5,,,,
5,"{""n_components"": 2}",C=2,702.8283182947599,279.9145835307298,5,,,,
6,"{""n_components"": 2}",C=2,772.1751101231239,212.69532965069263,5,,,,
7,"{""n_components"": 2}",C=2,815.9663858338154,127.49482230320314,5,,,,
8,"{""n_components"": 2}",C=2,806.2836993657454,177.73304389513947,5,,,,
9,"{""n_components"": 2}",C=2,866.1030823173239,360.27066450794507,5,,,,
10,"{""n_components"": 3}",C=3,13355.369012507337,25358.13876233596,5,,,,
