outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3}",C=3,726.0697067279664,77.88035093638662,5,,,,
2,"{""n_components"": 2}",C=2,827.3766834628877,280.1090276925037,5,,,,
3,"{""n_components"": 2}",C=2,812.7858124022456,264.3643586486449,5,,,,
4,"{""n_components"": 5}",C=5,538.378243350455,84.28070717419155,5,,,,
5,"{""n_components"": 5}",C=5,561.7511833836439,157.81993771402375,5,,,,
6,"{""n_components"": 8}",C=8,539.3608388312857,110.4084819190362,5,,,,
7,"{""n_components"": 7}",C=7,742.2634249687189,148.22671668515585,5,,,,
8,"{""n_components"": 2}",C=2,2114.287156388368,1776.6490645068397,5,,,,
9,"{""n_components"": 2}",C=2,649.8845257605345,324.95133227159863,5,,,,
10,"{""n_components"": 3}",C=3,712.0556199975609,302.78377266742666,5,,,,
