outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,488.2139036956522,185.03872620632606,5,,,,
2,"{""n_components"": 2}",C=2,500.8847999073558,168.10239233074307,5,,,,
3,"{""n_components"": 2}",C=2,546.5526109400273,195.42766575753808,5,,,,
4,"{""n_components"": 2}",C=2,423.03842470822326,131.4173137218184,5,,,,
5,"{""n_components"": 2}",C=2,495.6676470686439,182.2807812664695,5,,,,
6,"{""n_components"": 7}",C=7,419.07579037670695,160.0601945876244,5,,,,
7,"{""n_components"": 2}",C=2,448.2315392098396,161.345555897419,5,,,,
8,"{""n_components"": 2}",C=2,459.8667074895673,192.4153875564504,5,,,,
9,"{""n_components"": 2}",C=2,441.2800856897288,165.9004383075803,5,,,,
10,"{""n_components"": 7}",C=7,341.3848449565627,157.4980628976694,5,,,,
