outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 12}",C=12,918.081264313045,454.6360644339617,5,,,,
2,"{""n_components"": 3}",C=3,677.8292410440436,268.2030488785658,5,,,,
3,"{""n_components"": 11}",C=11,553.1194895523138,88.44560621948678,5,,,,
4,"{""n_components"": 2}",C=2,589.5506885717381,335.3812564198164,5,,,,
5,"{""n_components"": 2}",C=2,796.4203049544801,506.61444499376637,5,,,,
6,"{""n_components"": 9}",C=9,558.4707209002063,107.54656125647705,5,,,,
7,"{""n_components"": 2}",C=2,322040.0516082994,641225.5619295218,5,,,,
8,"{""n_components"": 2}",C=2,914.1465459722704,809.3268858450637,5,,,,
9,"{""n_components"": 3}",C=3,1003.8189194271517,874.8034476853089,5,,,,
10,"{""n_components"": 13}",C=13,382.3542844154384,99.63380840688725,5,,,,
