outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,501.65664198574893,19.115318731309106,5,,,,
2,"{""n_components"": 2}",C=2,520.5572549607398,28.98882782456099,5,,,,
3,"{""n_components"": 2}",C=2,535.5850984244338,178.89159767428924,5,,,,
4,"{""n_components"": 2}",C=2,414.07066918098826,88.59798656399167,5,,,,
5,"{""n_components"": 2}",C=2,487.712585148533,192.8183358793267,5,,,,
6,"{""n_components"": 2}",C=2,466.7039716123045,115.78634893237883,5,,,,
7,"{""n_components"": 2}",C=2,504.5623051116542,132.49887006556312,5,,,,
8,"{""n_components"": 2}",C=2,489.6610038659066,203.74323376084277,5,,,,
9,"{""n_components"": 2}",C=2,479.92620810155387,159.4687537745322,5,,,,
10,"{""n_components"": 2}",C=2,394.07630842207396,120.4205982525158,5,,,,
