outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,643.0572407657912,262.40025198608424,5,,,,
2,"{""n_components"": 2}",C=2,665.4866031212558,287.8897360923989,5,,,,
3,"{""n_components"": 2}",C=2,656.995893888931,431.82379570014587,5,,,,
4,"{""n_components"": 2}",C=2,628.3389311206831,211.66698140428963,5,,,,
5,"{""n_components"": 2}",C=2,660.1774961545976,462.890139061406,5,,,,
6,"{""n_components"": 2}",C=2,755.472424161259,242.19088475766378,5,,,,
7,"{""n_components"": 2}",C=2,645.4288917774842,272.1907571355728,5,,,,
8,"{""n_components"": 2}",C=2,609.2255985593758,344.4848711362841,5,,,,
9,"{""n_components"": 2}",C=2,560.3598011058275,277.25963314644684,5,,,,
10,"{""n_components"": 2}",C=2,687.4767571508353,414.6152472384612,5,,,,
