outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,642.9781359382536,262.94876655463776,5,,,,
2,"{""n_components"": 2}",C=2,665.7037974490859,288.0139098283753,5,,,,
3,"{""n_components"": 2}",C=2,657.0711542418998,431.83495748548955,5,,,,
4,"{""n_components"": 2}",C=2,628.2692980831333,211.79574680807042,5,,,,
5,"{""n_components"": 2}",C=2,660.2761316491057,462.81493791182646,5,,,,
6,"{""n_components"": 2}",C=2,755.1548605063412,241.6978610888482,5,,,,
7,"{""n_components"": 2}",C=2,645.6621760890438,271.91369973434115,5,,,,
8,"{""n_components"": 2}",C=2,609.2970318964278,343.99361819069577,5,,,,
9,"{""n_components"": 2}",C=2,560.6522301825684,277.45710463871256,5,,,,
10,"{""n_components"": 2}",C=2,687.544793712422,414.4095170226703,5,,,,
