outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04961998373400842,0.013234808776483682,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.051441238787288755,0.00855076981252874,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 7, ""num_intervals"": 10}",C=7__I=10,0.03768194293530943,0.003009661379183325,5,1384,1557,2961.37,3182.14
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.042773192012436234,0.010275086946898207,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.047734995805699156,0.006798053306213468,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04152243832123167,0.012152930136300122,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04714667048392803,0.005894044306954419,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04639336921489684,0.005984870669966195,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04758853945273275,0.010395864363156827,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04559406134867188,0.016955648329527544,5,1384,1731,2961.37,3398.93
