outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,0.04627280336832022,0.010265347325139566,5,0,346,200.908,805.597
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.05379247110071313,0.010703607090865338,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04308751119496852,0.009065705733925893,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.043198481281356046,0.004833319745313079,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.042504486176189606,0.011928977895429984,5,0,346,200.908,805.597
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.043336721026719274,0.015923711607212728,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.053230080775397134,0.0277720096793185,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.05765769867961261,0.015558373074301574,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.0445047336982736,0.015003877424574541,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04710087113625683,0.0153331929917319,5,1384,1731,2961.37,3398.93
