outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.045856046970621935,0.008533528033248835,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.051396127732378824,0.022226174076663295,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,0.03676515074513681,0.005819878875585417,5,173,346,509.333,805.597
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04725140715750731,0.010751054584313309,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,0.04793750148224908,0.006184913553289051,5,0,346,200.908,805.597
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.040074041722639134,0.017480478976701797,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.05143201789087952,0.01607738080829662,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.053644631679917246,0.011588912897841468,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.05264837938090271,0.0125060452718807,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04650788830509961,0.019603292243716795,5,1038,1384,2496.64,2960.07
