outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04331465017125522,0.01711478668714377,5,692,1038,1373.76,2495.26
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.0529740746056947,0.01064879540390907,5,692,1038,1373.76,2495.26
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.044313762768739946,0.010989112229337806,5,692,1038,1373.76,2495.26
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04648476347668885,0.01161793121842154,5,692,1038,1373.76,2495.26
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04824310508398936,0.009762269000632342,5,692,1038,1373.76,2495.26
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.0487226897989108,0.02429080751834539,5,692,1038,1373.76,2495.26
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.049748413342389074,0.020760014268195882,5,692,1038,1373.76,2495.26
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.05321958730378262,0.023815275179021725,5,692,1038,1373.76,2495.26
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.048947770083134425,0.016238123661080628,5,692,1038,1373.76,2495.26
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04156257011482074,0.016829321649509933,5,692,1038,1373.76,2495.26
