outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.053095784886069364,0.009431528529063952,5,,,,
2,"{""n_components"": 2}",C=2,0.056092300021861954,0.011968532906149161,5,,,,
3,"{""n_components"": 2}",C=2,0.05385510705724955,0.007605366566166177,5,,,,
4,"{""n_components"": 2}",C=2,0.052393911899355786,0.008351151028925544,5,,,,
5,"{""n_components"": 2}",C=2,0.04976505183786859,0.00416348116328454,5,,,,
6,"{""n_components"": 2}",C=2,0.05303518394272697,0.010087970786706596,5,,,,
7,"{""n_components"": 2}",C=2,0.058372892769429065,0.015991718825415693,5,,,,
8,"{""n_components"": 2}",C=2,0.060054228988282686,0.015024237280819292,5,,,,
9,"{""n_components"": 2}",C=2,0.053239141399397706,0.011642448182970687,5,,,,
10,"{""n_components"": 2}",C=2,0.051948371715826405,0.02293495487022525,5,,,,
