outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.08571806472036017,0.025089738987711295,5,,,,
2,"{""n_components"": 2}",C=2,0.08131573563080342,0.0216903417645918,5,,,,
3,"{""n_components"": 2}",C=2,0.06916010401114854,0.014615985092994183,5,,,,
4,"{""n_components"": 2}",C=2,0.07156279820199377,0.011940001337962958,5,,,,
5,"{""n_components"": 2}",C=2,0.07079158615362312,0.015394161573037897,5,,,,
6,"{""n_components"": 2}",C=2,0.07708736003917824,0.017936186300995312,5,,,,
7,"{""n_components"": 2}",C=2,0.09300707114643238,0.010525839644262801,5,,,,
8,"{""n_components"": 2}",C=2,0.09135268753766057,0.006019875128382056,5,,,,
9,"{""n_components"": 2}",C=2,0.14363175292601085,0.11697952330631517,5,,,,
10,"{""n_components"": 2}",C=2,9.910095303737265,19.68133252803607,5,,,,
