outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.06180422586930638,0.017687005116439527,5,,,,
2,"{""n_components"": 2}",C=2,0.08465716613722449,0.024644426658628767,5,,,,
3,"{""n_components"": 2}",C=2,0.06456460182884294,0.01742723149676181,5,,,,
4,"{""n_components"": 5}",C=5,0.05640291358733146,0.004606375408425504,5,,,,
5,"{""n_components"": 4}",C=4,0.05813313119403742,0.01386908539170467,5,,,,
6,"{""n_components"": 2}",C=2,0.06239391398867624,0.02002177696318038,5,,,,
7,"{""n_components"": 6}",C=6,0.07998492235577037,0.014855984615333953,5,,,,
8,"{""n_components"": 2}",C=2,0.24091199557994075,0.2461676522792153,5,,,,
9,"{""n_components"": 2}",C=2,0.08155041746898276,0.020594257940921096,5,,,,
10,"{""n_components"": 2}",C=2,0.08826451954475599,0.06915136540410882,5,,,,
