outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.05735433396845321,0.014763263613110025,5,,,,
2,"{""n_components"": 2}",C=2,0.06734406521070258,0.017167742327925267,5,,,,
3,"{""n_components"": 2}",C=2,0.052902038720084296,0.012021075398052503,5,,,,
4,"{""n_components"": 2}",C=2,0.052896382834188585,0.015323309327644342,5,,,,
5,"{""n_components"": 2}",C=2,0.05522637053005144,0.014406728228794468,5,,,,
6,"{""n_components"": 2}",C=2,0.0652513250501089,0.018828791912863303,5,,,,
7,"{""n_components"": 2}",C=2,0.06484462374396294,0.016082818520352198,5,,,,
8,"{""n_components"": 2}",C=2,0.06414710091860773,0.020004283740085005,5,,,,
9,"{""n_components"": 2}",C=2,0.06358795553129781,0.018540137270282146,5,,,,
10,"{""n_components"": 2}",C=2,0.05905927726031168,0.019818418120303865,5,,,,
