outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.05562417063262304,0.011045757152492619,5,,,,
2,"{""n_components"": 2}",C=2,0.06578855425683774,0.007243998659864583,5,,,,
3,"{""n_components"": 2}",C=2,0.05029918981547924,0.007186589214954043,5,,,,
4,"{""n_components"": 2}",C=2,0.05419640702045171,0.006136296680949847,5,,,,
5,"{""n_components"": 2}",C=2,0.058837900139742584,0.00758151874327894,5,,,,
6,"{""n_components"": 2}",C=2,0.06234324528147207,0.019431694915610205,5,,,,
7,"{""n_components"": 2}",C=2,0.06720649428792466,0.025997982901073486,5,,,,
8,"{""n_components"": 2}",C=2,0.06549711240645033,0.030354234584792927,5,,,,
9,"{""n_components"": 2}",C=2,0.05920934465234473,0.023364594974898796,5,,,,
10,"{""n_components"": 2}",C=2,0.059026004397769595,0.018296274317347035,5,,,,
