outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.05896736648740939,0.012457758247034227,5,,,,
2,"{""n_components"": 2}",C=2,0.06731299669648469,0.013078724340658068,5,,,,
3,"{""n_components"": 2}",C=2,0.05313879683100333,0.00975000852960122,5,,,,
4,"{""n_components"": 2}",C=2,0.05698526886129317,0.00553943380534671,5,,,,
5,"{""n_components"": 4}",C=4,0.05694352481771242,0.007634020473880583,5,,,,
6,"{""n_components"": 2}",C=2,0.06827373210044207,0.024098345078244442,5,,,,
7,"{""n_components"": 2}",C=2,0.06952022863681835,0.023221372538435654,5,,,,
8,"{""n_components"": 2}",C=2,0.07318600545408685,0.021049363877584087,5,,,,
9,"{""n_components"": 2}",C=2,0.06417099515102115,0.02052457676249243,5,,,,
10,"{""n_components"": 2}",C=2,0.06076917269157204,0.01948660806612595,5,,,,
