outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.04497047131960168,0.012937924004887554,5,,,,
2,"{""n_components"": 2}",C=2,0.04806280071525007,0.012662495156793853,5,,,,
3,"{""n_components"": 2}",C=2,0.04029779557592015,0.009502923239213616,5,,,,
4,"{""n_components"": 2}",C=2,0.04338130352897447,0.011754511332398012,5,,,,
5,"{""n_components"": 4}",C=4,0.042380338948396816,0.006246963764058498,5,,,,
6,"{""n_components"": 2}",C=2,0.046982698059076,0.022738867930505127,5,,,,
7,"{""n_components"": 2}",C=2,0.05024478885447749,0.022916936260518692,5,,,,
8,"{""n_components"": 2}",C=2,0.052084570076208446,0.022174460434034433,5,,,,
9,"{""n_components"": 2}",C=2,0.04984310411266334,0.017541695711282227,5,,,,
10,"{""n_components"": 2}",C=2,0.04242025610179692,0.01488390808642175,5,,,,
