outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,424.41845288961304,140.91928699864167,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 7, ""num_intervals"": 5}",C=7__I=5,393.5269604181753,141.89276718549593,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 10, ""num_intervals"": 5}",C=10__I=5,526.0342358242673,194.4098759971719,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,482.7355801555277,104.42380971229056,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,502.9360266126977,71.17424683437763,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,519.4654704334133,90.95870325701391,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,499.6892913307277,82.14850190654164,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,503.10451584069386,51.14958853564573,5,1211,1384,2732.54,2960.07
9,"{""n_components"": 7, ""num_intervals"": 5}",C=7__I=5,479.1534926940694,69.5702442223884,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,520.1499268290405,166.78056455521065,5,1384,1731,2961.37,3398.93
