outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,424.34308586836084,140.03473369668097,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 7, ""num_intervals"": 5}",C=7__I=5,392.9588511962782,140.7848732633725,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,525.3300235821018,194.22406825819036,5,1211,1384,2732.54,2960.07
4,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,487.6929786647934,103.98702468288427,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,504.0298839498381,71.74758565766025,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,520.9241708703375,91.49410272930317,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,499.4409925528851,82.26258726049008,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,503.435265774761,52.06796168217852,5,1211,1384,2732.54,2960.07
9,"{""n_components"": 7, ""num_intervals"": 5}",C=7__I=5,472.41095113662743,69.33676043964878,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,443.9536538434366,183.2844978574983,5,1384,1731,2961.37,3398.93
