outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,406.39151342590384,127.01467619089962,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,423.03386251166285,157.83825253693195,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,525.927918200517,220.16080104668967,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,527.4002062887741,104.10288387121209,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,500.0882714788045,56.002827448624295,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,525.3783091021951,173.67581257023843,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,493.2380981209868,123.96602904086508,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,477.7206649728529,79.76449759042443,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,436.2593828465554,101.5443262755468,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,457.2488516063724,172.23244591491257,5,1038,1384,2496.64,2960.07
