outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,531.3608114430652,200.3166702748414,5,692,1038,1373.76,2495.26
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,443.2481507969982,227.02983302539056,5,346,692,807.292,1372.18
3,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,585.5351283092552,159.48964580863992,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 8, ""num_intervals"": 5}",C=8__I=5,496.1527559821514,94.76791746033004,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,548.6487814131763,213.2297216013196,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 8, ""num_intervals"": 5}",C=8__I=5,530.0330380841611,81.74492615667786,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 8, ""num_intervals"": 5}",C=8__I=5,573.465286970309,76.25071578889207,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,675.9591058945693,337.8749148505515,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 7, ""num_intervals"": 5}",C=7__I=5,504.62322339567817,71.24527344693529,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,520.464286207359,166.89761461033865,5,1384,1731,2961.37,3398.93
