outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,642.0871177901109,280.3842736012889,5,,,,
2,"{""n_components"": 2}",C=2,593.848926570334,320.82740108736186,5,,,,
3,"{""n_components"": 2}",C=2,666.9416331927672,285.17110059751946,5,,,,
4,"{""n_components"": 2}",C=2,671.6521698407997,258.7809640897928,5,,,,
5,"{""n_components"": 2}",C=2,696.9651028083128,182.81499992924674,5,,,,
6,"{""n_components"": 2}",C=2,729.8728826159758,191.52322169816264,5,,,,
7,"{""n_components"": 2}",C=2,712.875032079186,241.6146399859503,5,,,,
8,"{""n_components"": 2}",C=2,727.2521293883318,205.24351704972142,5,,,,
9,"{""n_components"": 2}",C=2,755.7014026083041,195.01380998658584,5,,,,
10,"{""n_components"": 2}",C=2,538.9950270510014,196.713735076286,5,,,,
