outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,601.2391368288397,264.82067814104954,5,,,,
2,"{""n_components"": 2}",C=2,608.851539246714,276.9082132916119,5,,,,
3,"{""n_components"": 2}",C=2,681.2061102161357,271.32797230527865,5,,,,
4,"{""n_components"": 2}",C=2,677.9547572378251,220.99412289581255,5,,,,
5,"{""n_components"": 2}",C=2,702.5798774203893,156.59391364494553,5,,,,
6,"{""n_components"": 2}",C=2,732.4357935743558,186.43402395428245,5,,,,
7,"{""n_components"": 2}",C=2,720.6635802424278,200.6432294304087,5,,,,
8,"{""n_components"": 2}",C=2,731.9166313509197,209.72308175242736,5,,,,
9,"{""n_components"": 2}",C=2,732.8046127917917,172.79150990617092,5,,,,
10,"{""n_components"": 2}",C=2,533.5431949805544,148.4856717143823,5,,,,
