outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,601.2188644695029,235.21304763219212,5,,,,
2,"{""n_components"": 2}",C=2,576.2369567234266,215.548997760749,5,,,,
3,"{""n_components"": 2}",C=2,672.5773594946183,263.4595940384585,5,,,,
4,"{""n_components"": 2}",C=2,712.1558505788054,264.004540797427,5,,,,
5,"{""n_components"": 2}",C=2,683.5646567720185,131.4423183979445,5,,,,
6,"{""n_components"": 2}",C=2,761.4358054279746,159.66117740366553,5,,,,
7,"{""n_components"": 2}",C=2,654.7355375352925,177.94225481397132,5,,,,
8,"{""n_components"": 2}",C=2,717.4892058475896,190.4133498958449,5,,,,
9,"{""n_components"": 2}",C=2,712.3515361944171,175.81653794309807,5,,,,
10,"{""n_components"": 2}",C=2,497.80613495761753,167.41583972108614,5,,,,
