outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,671.7457502879004,314.33285528007957,5,,,,
2,"{""n_components"": 2}",C=2,631.2611261711361,279.3462670821394,5,,,,
3,"{""n_components"": 2}",C=2,704.8887300602555,344.96760854772367,5,,,,
4,"{""n_components"": 2}",C=2,716.8444873713504,254.34269676485692,5,,,,
5,"{""n_components"": 2}",C=2,776.1671540482038,175.72678282935036,5,,,,
6,"{""n_components"": 2}",C=2,787.6949977964765,208.9714485872461,5,,,,
7,"{""n_components"": 2}",C=2,834.9927752709102,387.89236362560524,5,,,,
8,"{""n_components"": 2}",C=2,783.733937831988,241.2626718716385,5,,,,
9,"{""n_components"": 2}",C=2,779.6816716062689,212.70874185680668,5,,,,
10,"{""n_components"": 2}",C=2,541.6526398258002,202.70514393021006,5,,,,
