outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,631.6439011077849,254.42791076640222,5,,,,
2,"{""n_components"": 2}",C=2,633.8469668262546,262.6503775265759,5,,,,
3,"{""n_components"": 2}",C=2,712.1845763903532,289.57397688235244,5,,,,
4,"{""n_components"": 2}",C=2,722.1809041667202,262.3922154188201,5,,,,
5,"{""n_components"": 2}",C=2,767.7552114994272,218.4487184478872,5,,,,
6,"{""n_components"": 2}",C=2,777.3589002584381,271.89101590755723,5,,,,
7,"{""n_components"": 2}",C=2,731.0828084689326,212.1291131366883,5,,,,
8,"{""n_components"": 2}",C=2,802.0241812345337,255.27132804118247,5,,,,
9,"{""n_components"": 2}",C=2,758.2466410033751,206.5577605002446,5,,,,
10,"{""n_components"": 2}",C=2,527.7436868376171,167.82715850731032,5,,,,
