outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,573.8188090489355,285.6220951998392,5,,,,
2,"{""n_components"": 2}",C=2,567.0838104342591,314.32824922742793,5,,,,
3,"{""n_components"": 2}",C=2,679.6630789441635,255.1768754125462,5,,,,
4,"{""n_components"": 2}",C=2,643.0258498783556,218.4732390082778,5,,,,
5,"{""n_components"": 2}",C=2,637.0726399486445,171.05548134568411,5,,,,
6,"{""n_components"": 2}",C=2,674.5726809185775,161.8354570414918,5,,,,
7,"{""n_components"": 2}",C=2,670.0717897039797,228.8240675639408,5,,,,
8,"{""n_components"": 2}",C=2,661.2258306917398,200.15535174222967,5,,,,
9,"{""n_components"": 2}",C=2,668.9433001374086,203.9611428746364,5,,,,
10,"{""n_components"": 2}",C=2,505.0596493670011,218.53238150811652,5,,,,
