outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,449.8112796534215,183.95515446543922,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,504.8972636555538,162.65577505576465,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,536.9862014268394,178.6010643483169,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,414.7472013585663,46.35661327388172,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,481.9484467551989,108.9018425864049,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,524.600663996019,165.24576038880073,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,580.2007151838222,152.04569265130672,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,486.6051658287089,99.6314732166771,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,486.7878375014255,262.4731419989106,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,507.061483134883,107.60850631423372,5,1384,1731,2961.37,3398.93
