outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,392.3883200356648,137.12875072949606,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,534.2351417302376,222.31441863542682,5,0,346,200.908,805.597
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,597.7651133932078,202.8265375074215,5,0,346,200.908,805.597
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,529.271407274596,187.34469092460355,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,571.6703110967509,103.08017156677505,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,530.5030569820899,194.60227503181403,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,582.2808978894496,289.81063128154955,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,515.8491686553918,197.45847942733158,5,692,1038,1373.76,2495.26
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,488.71262787580224,249.36427940344626,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,483.40141302797474,112.61270229458835,5,1384,1731,2961.37,3398.93
