outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,445.4930668958991,229.82581640068747,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,463.3964727744116,243.63319006103868,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,523.1231518679707,177.3275610271378,5,0,346,200.908,805.597
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,513.8998256650746,130.4242139470733,5,346,692,807.292,1372.18
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,479.74548223061345,168.64596619789484,5,346,692,807.292,1372.18
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,541.4132397328898,121.4534160272779,5,346,692,807.292,1372.18
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,601.0820160743226,266.4689488154467,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,440.4431057095112,118.99908939724035,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,489.58803351833103,275.1477817948227,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 10, ""num_intervals"": 10}",C=10__I=10,416.2922113649167,70.35934994872144,5,519,692,1095.28,1372.18
