outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,498.0422685018648,281.298086360096,5,0,346,200.908,805.597
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,527.8607325349877,316.85511587340784,5,0,346,200.908,805.597
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,551.30777380633,248.37414637670292,5,0,346,200.908,805.597
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,527.3223930898141,177.73675756226882,5,0,346,200.908,805.597
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,500.57844784245856,154.537359279292,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,526.1976386421823,186.32514737861837,5,0,346,200.908,805.597
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,558.4232477936243,224.81719789448988,5,0,346,200.908,805.597
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,557.5453274904604,116.01413196807124,5,346,692,807.292,1372.18
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,528.2043826823126,281.5774463535576,5,0,346,200.908,805.597
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,552.813671953851,130.08327305407772,5,346,692,807.292,1372.18
