outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,516.5514451874803,267.36852169532256,5,,,,
2,"{""n_components"": 2}",C=2,551.7043135125166,308.2743801996227,5,,,,
3,"{""n_components"": 2}",C=2,567.8540711056091,241.4709571230179,5,,,,
4,"{""n_components"": 2}",C=2,563.531517028216,200.13302559007764,5,,,,
5,"{""n_components"": 2}",C=2,502.3285437960491,150.48148556550447,5,,,,
6,"{""n_components"": 2}",C=2,548.1815763920647,218.81705120014308,5,,,,
7,"{""n_components"": 2}",C=2,581.2213710598958,179.50505746711883,5,,,,
8,"{""n_components"": 2}",C=2,555.8710356260374,159.45880547631666,5,,,,
9,"{""n_components"": 2}",C=2,555.223286380161,267.91576228137075,5,,,,
10,"{""n_components"": 2}",C=2,579.5195505825852,163.73150078903817,5,,,,
