outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,486.1494821789964,172.22527547374983,5,,,,
2,"{""n_components"": 2}",C=2,477.59345947527106,210.6078415408268,5,,,,
3,"{""n_components"": 2}",C=2,527.9724654076131,148.93974298765906,5,,,,
4,"{""n_components"": 3}",C=3,488.4761547656972,76.38283859570808,5,,,,
5,"{""n_components"": 4}",C=4,453.7806634019057,72.95301805750378,5,,,,
6,"{""n_components"": 2}",C=2,492.8316180293588,111.03731278267244,5,,,,
7,"{""n_components"": 2}",C=2,495.6962623212677,136.99231194000058,5,,,,
8,"{""n_components"": 2}",C=2,451.0198628516864,123.03111710510586,5,,,,
9,"{""n_components"": 2}",C=2,491.2119038734389,244.83819784182322,5,,,,
10,"{""n_components"": 4}",C=4,457.7454029166549,77.36558210531715,5,,,,
