outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,407.9173481633979,223.53224756068795,5,,,,
2,"{""n_components"": 2}",C=2,487.0296049628417,246.73690349269083,5,,,,
3,"{""n_components"": 2}",C=2,530.2718057069242,196.1641836107116,5,,,,
4,"{""n_components"": 2}",C=2,472.5503931528066,107.7757859444269,5,,,,
5,"{""n_components"": 2}",C=2,477.3847713732974,92.71447263012188,5,,,,
6,"{""n_components"": 2}",C=2,481.7192927513728,139.01954179587804,5,,,,
7,"{""n_components"": 2}",C=2,518.174053429985,192.81806477012975,5,,,,
8,"{""n_components"": 2}",C=2,487.6528266643165,163.03763982833473,5,,,,
9,"{""n_components"": 2}",C=2,509.37319009622314,230.69448840988727,5,,,,
10,"{""n_components"": 2}",C=2,486.40330568109164,110.1714897563549,5,,,,
