outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,437.98695434861565,166.95123664743548,5,,,,
2,"{""n_components"": 2}",C=2,489.63905350480417,238.43422466437843,5,,,,
3,"{""n_components"": 2}",C=2,526.3227005084769,193.50127019342816,5,,,,
4,"{""n_components"": 2}",C=2,450.3404931096203,96.21187361697822,5,,,,
5,"{""n_components"": 2}",C=2,449.79479815379455,83.3205009620599,5,,,,
6,"{""n_components"": 2}",C=2,471.3482019428176,150.99632844898287,5,,,,
7,"{""n_components"": 2}",C=2,491.31270969627604,214.90222410685823,5,,,,
8,"{""n_components"": 2}",C=2,461.346422488907,188.57572320917185,5,,,,
9,"{""n_components"": 2}",C=2,486.6304275537192,259.629906891759,5,,,,
10,"{""n_components"": 2}",C=2,473.9639295206222,122.83171028194877,5,,,,
