outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,577.1891219933796,223.32296374803383,5,,,,
2,"{""n_components"": 2}",C=2,641.32725152035,223.9717994368258,5,,,,
3,"{""n_components"": 2}",C=2,598.2398040848433,253.99902842389926,5,,,,
4,"{""n_components"": 2}",C=2,496.5470262925578,215.42067750016673,5,,,,
5,"{""n_components"": 2}",C=2,499.4719150632988,185.98997174979138,5,,,,
6,"{""n_components"": 2}",C=2,578.403261281189,183.11729900100002,5,,,,
7,"{""n_components"": 2}",C=2,668.3052489709866,223.17985843228556,5,,,,
8,"{""n_components"": 2}",C=2,641.5019028594722,191.94858238479668,5,,,,
9,"{""n_components"": 2}",C=2,633.3122441065138,243.11239253438262,5,,,,
10,"{""n_components"": 2}",C=2,561.3700788495412,259.1381106321723,5,,,,
