outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,529.9107452363498,193.4682450960857,5,,,,
2,"{""n_components"": 2}",C=2,591.2245916983532,244.72336175039916,5,,,,
3,"{""n_components"": 2}",C=2,628.7336238160726,257.79623608361806,5,,,,
4,"{""n_components"": 2}",C=2,563.6676470508363,276.71425251398335,5,,,,
5,"{""n_components"": 2}",C=2,523.242595156538,173.9519347122163,5,,,,
6,"{""n_components"": 2}",C=2,573.5369276493659,164.51275648896575,5,,,,
7,"{""n_components"": 2}",C=2,678.647372826443,251.0178205902687,5,,,,
8,"{""n_components"": 2}",C=2,654.7216960362908,185.6669009678338,5,,,,
9,"{""n_components"": 2}",C=2,627.1942695697064,297.03177814017783,5,,,,
10,"{""n_components"": 2}",C=2,619.3342226075022,140.5487612049287,5,,,,
