outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,375.2556688199381,157.14576241458437,5,,,,
2,"{""n_components"": 2}",C=2,524.1016714974021,184.91304390566575,5,,,,
3,"{""n_components"": 2}",C=2,546.8340017188935,191.09336633811577,5,,,,
4,"{""n_components"": 2}",C=2,485.28289090499004,122.92814971899934,5,,,,
5,"{""n_components"": 2}",C=2,489.4024359415974,96.69229692831013,5,,,,
6,"{""n_components"": 2}",C=2,498.2824348678329,142.35793153051242,5,,,,
7,"{""n_components"": 2}",C=2,509.2401176409734,266.9582739252635,5,,,,
8,"{""n_components"": 2}",C=2,469.88626442961214,188.98653905031404,5,,,,
9,"{""n_components"": 2}",C=2,509.98560244194886,190.40885818885246,5,,,,
10,"{""n_components"": 2}",C=2,508.60389678200846,135.6366828643919,5,,,,
