outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.04267000235930622,0.015532100402797165,5,,,,
2,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.0511475052625832,0.013394275478693889,5,,,,
3,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.04994503941377513,0.011611511538300595,5,,,,
4,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.040263024861486994,0.007505911652906445,5,,,,
5,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.04759663608888698,0.010240334586820127,5,,,,
6,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.04342638775505238,0.0072473459936014464,5,,,,
7,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.043523049607293994,0.01067872773545284,5,,,,
8,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.03945844352905582,0.013155232502574419,5,,,,
9,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.05075079492492659,0.017581703709577297,5,,,,
10,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.044915540740804186,0.012820032963979447,5,,,,
