outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.034496432469393046,0.008107980503180985,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04609576390396123,0.012487524051693276,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.04984467956798519,0.014601940334031081,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03249902183614609,0.0124466050303259,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.0386964977052119,0.013036440403276079,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.038033207081732114,0.018545306827094554,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,0.030651953614340272,0.00793811892755196,5,1384,1557,2961.37,3182.14
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.0357804153911407,0.009802397247706568,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.03760232066996543,0.004266862742783985,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,0.03534007274511474,0.0068818259910872585,5,1384,1731,2961.37,3398.93
