outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03286418399998871,0.008886898572556022,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.043932206862516844,0.013033373818296551,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04724489774782258,0.01541145157400364,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03246546852266409,0.012476359464137136,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.041596652049672965,0.004455603101637249,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.032378252959825694,0.009563624930777512,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,0.030491686735716013,0.00801817318873089,5,1384,1557,2961.37,3182.14
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.035317380947891094,0.010957291531137982,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.039983408024493815,0.014971673707077233,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,0.035263612394858986,0.0068716570068142096,5,1384,1557,2961.37,3182.14
