outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03272780927643249,0.008809721009929487,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04386902889984329,0.012948342060970694,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.0455964031271288,0.0199777683644394,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.032358633391853533,0.012450916826721899,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.033758142223508036,0.010556710976172477,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03222172407567379,0.009647547377981935,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,0.0303602283779634,0.008039298062004692,5,1384,1557,2961.37,3182.14
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.031904757646751075,0.009021687541459553,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.03682521165009518,0.004698877088564559,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,0.03512340601606388,0.006870635704545057,5,1384,1557,2961.37,3182.14
