outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.039959894539644554,0.013847635223690095,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.04396039362560151,0.009805751602660206,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.043618506368173895,0.016744959438118247,5,0,346,200.908,805.597
4,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.04073896258008099,0.009725046054050224,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.045746261944608194,0.0022529803761163186,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.038675607491534245,0.007088203497709526,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.038530519742412055,0.011030288587303401,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.035282956045451126,0.017337482542165782,5,692,1038,1373.76,2495.26
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.043427119588323515,0.014675486208125785,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.0442507309622084,0.0077390370084024305,5,1384,1731,2961.37,3398.93
