outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03254837179364923,0.008986456862821077,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04395494675311759,0.013068527333229944,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.044621160939849205,0.013565776519202145,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03231356848181327,0.012693848462615114,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.0337685299528475,0.008834154647686413,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 9, ""num_intervals"": 10}",C=9__I=10,0.030836817041323218,0.008120286587176334,5,1384,1557,2961.37,3182.14
7,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,0.030529536716486033,0.008015307123917792,5,1384,1557,2961.37,3182.14
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.035238203509933605,0.010884563753766887,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.03743022201108228,0.004227949968849805,5,1384,1731,2961.37,3398.93
10,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,0.035259585496398724,0.006829396366124115,5,1384,1557,2961.37,3182.14
